31,https://p0.meituan.net/movie/27b76fe6cf3903f3d74963f70786001e1438406.jpg,狮子王,"马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯",1995-7-15,未知,8.8
32,https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg,机器人总动员,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008-6-27,美国,9.3
33,https://p1.meituan.net/movie/a2a287c77415dc1f85b04d288f7d63ab1089754.jpg,拯救大兵瑞恩,"汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",1998-11-13,未知,8.9
34,https://p0.meituan.net/movie/7787c10ad5e95b03cf83ef9473500d8e282796.jpg,忠犬八公的故事,"Forest,理查·基尔,琼·艾伦",2010-3-12,英国,9.3
35,https://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg,哈尔的移动城堡,"倍赏千惠子,木村拓哉,美轮明宏",2004-11-20,日本,9
36,https://p1.meituan.net/movie/bc022b86345c643ca21d759166f77a553679589.jpg,疯狂原始人,"尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013-4-20,未知,9.5
37,https://p1.meituan.net/movie/91f575ec93f019f428d1f33e3ceca7c5115495.jpg,阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010-1-4,未知,9.1
38,https://p1.meituan.net/movie/2f344a9f9575edbcae9f0abe0578bc90339773.jpg,盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010-9-1,未知,9.2
39,https://p0.meituan.net/movie/a08f65e6cb50fab32df5da69ff116f593095363.jpg,幽灵公主,"松田洋治,石田百合子,田中裕子",1998-5-1,未知,8.9
40,https://p1.meituan.net/movie/7e471a9171a410ebc9413b2f1de67afc130067.jpg,东邪西毒,"张国荣,梁朝伟,刘嘉玲",1994-9-17,未知,8.8
41,https://p0.meituan.net/movie/b3defc07dfaa1b6f5b74852ce38a3f8f242792.jpg,搏击俱乐部,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-10-15,美国,8.8
42,https://p0.meituan.net/movie/4f9638ba234c3fb673f23a09968db875371576.jpg,风之谷,"岛本须美,永井一郎,坂本千夏",1992,未知,8.9
43,https://p1.meituan.net/movie/06ec3c1c647942b1e40bca84036014e9490863.jpg,V字仇杀队,"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",2006-3-17,美国,8.8
44,https://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg,十二怒汉,"亨利·方达,李·科布,马丁·鲍尔萨姆",1957-4-13,美国,9.1
45,https://p1.meituan.net/movie/5896de3c1474277730e321c9b1db04a9205644.jpg,当幸福来敲门,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008-1-17,未知,8.9
46,https://p0.meituan.net/movie/b0d97e4158b47d653d7a81d66f7dd3092146907.jpg,驯龙高手,"杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",2010-5-14,未知,9
47,https://p0.meituan.net/movie/845ce32778a1b3f258de089f91a3979b5766154.jpg,速度与激情5,"范·迪塞尔,保罗·沃克,道恩·强森",2011-5-12,未知,9.2
48,https://p0.meituan.net/movie/70de97ebb6b5251ecb7c3f6d7a782a7f189340.jpg,放牛班的春天,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",2004-10-16,未知,8.8
49,https://p1.meituan.net/movie/f8e9d5a90224746d15dfdbd53d4fae3d209420.jpg,勇敢的心,"梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",1995-5-24,美国,8.8
50,https://p1.meituan.net/movie/8d7b0b902afd4ec1a3dd7a9c6149463c187734.jpg,闻香识女人,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23,美国,8.8
61,https://p1.meituan.net/movie/75c0d3eb584be030a01f2e26741a8f41251454.jpg,致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006-10-20,美国,8.8
